date,time,vehicles
11/09/2024,16:00,458
11/09/2024,16:15,1071
11/09/2024,16:30,1163
11/09/2024,16:45,1054
11/09/2024,17:00,878
11/09/2024,17:15,1141
11/09/2024,17:30,1034
11/09/2024,17:45,973
11/09/2024,18:00,918
11/09/2024,18:15,960
11/09/2024,18:30,949
11/09/2024,18:45,978
11/09/2024,19:00,942
11/09/2024,19:15,937
11/09/2024,19:30,961
11/09/2024,19:45,880
11/09/2024,20:00,777
11/09/2024,20:15,683
11/09/2024,20:30,692
11/09/2024,20:45,539
11/09/2024,21:00,530
11/09/2024,21:15,463
11/09/2024,21:30,427
11/09/2024,21:45,413
11/09/2024,22:00,294
11/09/2024,22:15,304
11/09/2024,22:30,310
11/09/2024,22:45,226
11/09/2024,23:00,187
11/09/2024,23:15,172
11/09/2024,23:30,123
11/09/2024,23:45,119
12/09/2024,00:00,106
12/09/2024,00:15,100
12/09/2024,00:30,68
12/09/2024,00:45,65
12/09/2024,01:00,69
12/09/2024,01:15,49
12/09/2024,01:30,40
