                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4282,                 6.1184,                 3.1026,                0.06607,                0.13476,                0.04497,                0.02342,                 4.1514,                   13.6,                 5.4299,             0.00036697,             0.00036697,             0.00036697
                      2,                 3.0313,                 5.4606,                 3.5913,                0.23926,                0.08777,                0.03693,                0.01611,                 4.1513,                 22.163,                 5.2913,                0.00073,                0.00073,                0.00073
                      3,                 3.2357,                 5.4309,                 3.7359,                0.28898,                0.18251,                0.08196,                0.04028,                 3.9654,                 7.9364,                 5.0052,              0.0010857,              0.0010857,              0.0010857
                      4,                 3.1613,                 5.3581,                 3.6745,                0.05964,                 0.1675,                0.07211,                0.03317,                 3.9612,                 9.6884,                 5.5095,               0.001078,               0.001078,               0.001078
                      5,                 3.1464,                 5.2254,                 3.6341,                0.52672,                0.22263,                0.16114,                0.09473,                 3.3084,                 7.0969,                 4.2496,               0.001067,               0.001067,               0.001067
                      6,                 3.0959,                 4.9602,                 3.5696,                0.24748,                0.36907,                0.21411,                0.11629,                 3.2911,                 5.5311,                 4.2557,               0.001056,               0.001056,               0.001056
                      7,                 2.9771,                 4.8245,                 3.5173,                0.26954,                0.35859,                0.22847,                0.14437,                 2.9379,                 5.3268,                 3.7677,               0.001045,               0.001045,               0.001045
                      8,                 2.8092,                 4.4898,                 3.3293,                0.21029,                0.32926,                0.19586,                0.11449,                 2.9851,                 5.2038,                 3.8008,               0.001034,               0.001034,               0.001034
                      9,                 2.8239,                 4.5404,                 3.3696,                0.43982,                0.31928,                0.22225,                0.14078,                 2.9174,                 4.8607,                 3.7605,               0.001023,               0.001023,               0.001023
                     10,                 2.7303,                 4.2955,                 3.2854,                0.48996,                0.29075,                0.30674,                0.20113,                 2.8774,                 4.8723,                 3.6999,               0.001012,               0.001012,               0.001012
                     11,                 2.6861,                 4.2518,                 3.2698,                0.32124,                0.37597,                0.29409,                0.19984,                 2.7301,                 4.6346,                 3.6129,               0.001001,               0.001001,               0.001001
                     12,                 2.5814,                 3.9912,                 3.2188,                0.42333,                0.36335,                0.30551,                0.22089,                 2.8556,                 4.6553,                 3.6977,             0.00099001,             0.00099001,             0.00099001
                     13,                 2.5925,                 3.9665,                 3.1882,                0.34091,                0.35893,                0.31322,                  0.211,                 2.6658,                 4.2738,                 3.4489,             0.00097901,             0.00097901,             0.00097901
                     14,                 2.5658,                 3.9321,                 3.1565,                 0.6087,                0.42449,                0.43307,                0.30506,                 2.6953,                 3.8931,                 3.4933,             0.00096801,             0.00096801,             0.00096801
