                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0021,                 8.1838,                 2.7072,                0.00644,                0.82577,                0.11744,                0.07995,                 1.9742,                 9.1433,                 2.8643,              0.0003636,              0.0003636,              0.0003636
                      2,                 2.3722,                 7.1042,                 2.9276,                0.86817,                0.02185,                0.14884,                0.08248,                 2.6749,                  8.013,                 3.5678,             0.00072667,             0.00072667,             0.00072667
                      3,                 2.4937,                 6.6724,                 3.0117,                0.28305,                0.17881,                0.15682,                0.08679,                 3.0844,                 6.3604,                 3.9571,              0.0010824,              0.0010824,              0.0010824
                      4,                 2.5259,                 6.2234,                 3.0488,                0.27184,                 0.2133,                0.16707,                 0.0956,                 3.0494,                 6.3854,                 3.6648,               0.001078,               0.001078,               0.001078
                      5,                  2.533,                 5.7421,                 2.9751,                0.53033,                0.23496,                0.21327,                0.12198,                 3.0883,                 7.1682,                 3.8227,               0.001067,               0.001067,               0.001067
                      6,                  2.532,                 5.2236,                  2.929,                0.33738,                0.31695,                0.21084,                0.12211,                 2.9866,                 5.3029,                 3.7373,               0.001056,               0.001056,               0.001056
                      7,                 2.4779,                 4.9692,                 2.9531,                0.34326,                0.27744,                0.20405,                0.13132,                   2.85,                 5.1608,                 3.5172,               0.001045,               0.001045,               0.001045
                      8,                   2.42,                  4.513,                 2.8697,                0.44934,                0.34389,                0.32196,                0.19967,                 2.9791,                 4.6352,                 3.6725,               0.001034,               0.001034,               0.001034
                      9,                 2.4415,                 4.3786,                 2.8775,                0.26096,                0.29189,                0.24503,                0.17429,                 3.0478,                  5.065,                 3.7453,               0.001023,               0.001023,               0.001023
                     10,                 2.3984,                 4.0315,                 2.8471,                0.52287,                0.25513,                0.21413,                0.11883,                 3.6888,                 5.1523,                 4.0293,               0.001012,               0.001012,               0.001012
                     11,                 2.3673,                 3.9641,                 2.8373,                0.33519,                0.37612,                0.31438,                0.22329,                 2.7125,                 4.5689,                 3.3867,               0.001001,               0.001001,               0.001001
                     12,                 2.2908,                 3.7449,                 2.7726,                0.39924,                0.41293,                0.36343,                0.25666,                 2.6172,                 4.3149,                 3.2988,             0.00099001,             0.00099001,             0.00099001
                     13,                  2.294,                 3.5923,                 2.7853,                0.47539,                0.36697,                0.33921,                0.21658,                 3.0142,                 4.5685,                 3.6101,             0.00097901,             0.00097901,             0.00097901
                     14,                 2.3053,                 3.6419,                 2.7957,                0.39117,                0.48195,                0.40827,                0.28431,                 2.7025,                 4.2215,                 3.2792,             0.00096801,             0.00096801,             0.00096801
                     15,                   2.27,                 3.4555,                 2.7826,                0.36896,                0.32606,                0.23469,                0.15492,                   2.78,                  4.823,                 3.4335,             0.00095702,             0.00095702,             0.00095702
                     16,                 2.2085,                 3.3076,                 2.7059,                 0.5134,                0.36085,                0.38275,                0.27377,                 2.5829,                 3.9609,                 3.1684,             0.00094602,             0.00094602,             0.00094602
                     17,                 2.1915,                 3.2467,                 2.7131,                0.63446,                0.34764,                0.41055,                0.27513,                 2.7683,                 4.4218,                 3.3696,             0.00093502,             0.00093502,             0.00093502
                     18,                  2.165,                 3.1181,                 2.6872,                0.37946,                 0.3883,                0.35994,                0.23239,                 2.6726,                 4.2007,                 3.3025,             0.00092402,             0.00092402,             0.00092402
                     19,                 2.1984,                 3.1407,                 2.6891,                0.47044,                0.42472,                0.41986,                0.28156,                 2.7452,                 4.1618,                  3.364,             0.00091302,             0.00091302,             0.00091302
                     20,                 2.1313,                 2.9785,                 2.6602,                0.49893,                  0.374,                0.40745,                0.28165,                  2.714,                 4.0533,                 3.3604,             0.00090202,             0.00090202,             0.00090202
                     21,                 2.1044,                 2.9025,                 2.6359,                0.58722,                0.47827,                0.45559,                0.31254,                 2.7414,                   3.99,                 3.3978,             0.00089102,             0.00089102,             0.00089102
                     22,                  2.104,                 2.8156,                 2.6508,                 0.5688,                0.46065,                0.45858,                0.30367,                 2.6263,                 3.9745,                 3.2755,             0.00088002,             0.00088002,             0.00088002
                     23,                 2.0242,                 2.7091,                  2.565,                0.54525,                0.48834,                0.51658,                0.36152,                 2.6963,                 3.6903,                 3.4083,             0.00086902,             0.00086902,             0.00086902
                     24,                 2.0565,                 2.6757,                 2.6111,                  0.433,                0.42602,                0.38463,                0.24733,                 2.7484,                 4.2976,                 3.3308,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.9777,                 2.5693,                 2.5615,                0.56383,                0.45556,                0.45337,                  0.323,                 2.6221,                 3.7976,                 3.2752,             0.00084703,             0.00084703,             0.00084703
                     26,                 2.0107,                 2.6139,                  2.566,                0.44939,                0.52332,                0.43698,                0.30598,                 2.5206,                 3.7394,                 3.1833,             0.00083603,             0.00083603,             0.00083603
                     27,                 2.0336,                 2.5363,                 2.5733,                0.45597,                0.42073,                0.44317,                0.31286,                 2.6886,                 4.0123,                  3.298,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.9503,                  2.516,                 2.5433,                0.51026,                0.36314,                0.40471,                0.27965,                 2.6155,                 4.0374,                  3.176,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.9549,                 2.3706,                 2.5387,                0.52756,                0.42517,                0.43347,                0.31206,                 2.6443,                  3.832,                 3.2621,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.9694,                 2.3731,                 2.5312,                0.53874,                0.49359,                0.46726,                0.32906,                 2.5863,                 3.7267,                 3.2074,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.9257,                   2.31,                 2.5176,                0.51536,                0.40593,                0.44181,                0.30396,                 2.6229,                 4.0682,                 3.2767,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.8453,                 2.3132,                  2.478,                0.63994,                 0.4115,                0.45661,                0.31979,                 2.5524,                 3.7728,                 3.1991,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.9133,                 2.2839,                 2.4842,                0.57778,                 0.4499,                0.47946,                 0.3514,                 2.5226,                 3.7484,                 3.1583,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.8802,                 2.2021,                 2.4747,                0.50946,                0.48276,                 0.4471,                0.32572,                 2.5186,                  3.844,                 3.1234,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.7964,                 2.0907,                 2.4419,                0.51571,                0.49959,                0.48621,                0.36079,                 2.4904,                 3.4858,                 3.1366,             0.00073704,             0.00073704,             0.00073704
